Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Car Make Encoded,Car Model Encoded
0.7627320033993689,-0.9679410568669415,-1.1183783583139284,-1.1150322361347733,0.3576606913054041,101200.0,1.3721831933199544,-1.3418861530680575
-0.2730136924919278,0.7552804967127319,0.7425970737765373,-0.2508793931281223,-1.3687809756717793,274390.0,0.054070836388141995,0.2207288242366112
0.7627320033993689,-0.26298678494798433,0.9724386610068338,0.6595673521824565,-1.0810406978422484,333750.0,-0.473174106384583,-1.649673951628068
0.7627320033993689,0.7552804967127319,0.23842843081975773,-0.5363584573356767,-0.7933004200127177,142700.0,-1.1322302848504893,0.8599804058612484
-0.2730136924919278,-0.18465853251254455,1.3357366537256896,0.7135769048703722,-1.512651114586544,298000.0,0.7131270148540482,-1.4129141065819062
0.7627320033993689,0.12865447722921453,0.6462118920348,0.5978421491105529,-0.9371705589274831,130000.0,-1.000419049157308,0.4811646537873893
-0.2730136924919278,-0.18465853251254455,-0.05072711440545405,0.14261877645526344,0.06992041347587336,118500.0,0.9767494862404107,-1.152478277031128
-0.2730136924919278,1.5385630210671288,-0.29539719113447943,-0.08113508468038728,-1.3687809756717793,59900.0,-0.7367965777709454,-0.30014283486494503
0.7627320033993689,0.7552804967127319,1.70644889119391,1.1533689767576858,-0.3616900032684222,81000.0,-0.34136287069140175,0.6468965453197026
-0.2730136924919278,-0.34131503738342406,0.5201697312956052,0.04231532146342002,-1.8003913924160748,212000.0,1.108560721933592,0.10234890171353023
-0.2730136924919278,0.7552804967127319,0.7425970737765373,0.31236308490299847,-0.3616900032684222,201495.0,-1.2640415205436704,-0.22911488135109648
0.7627320033993689,1.5385630210671288,1.3876363669712406,1.3925541386613123,-0.3616900032684222,61000.0,-0.6049853420777642,-0.4658747263972584
0.7627320033993689,-0.9679410568669415,-1.733760672511174,-1.3927956499583398,2.3718426361121185,70100.0,-0.2095516349982205,-0.11073495882801551
-0.2730136924919278,0.5986239918418524,-0.4362678413724031,-0.5980836604075803,0.9331412469644658,92950.0,0.18588207208132324,0.26808079324584355
